seller_id,seller_name,state,city,seller_rating,total_products_listed,joined_date,seller_tier,fulfillment_type,gst_registered,return_acceptance_rate
SELL00001,Banerjee Mart,Tamil Nadu,Madurai,4.3,504,2023-09-25 07:48:06,Preferred,FlipMart Fulfilled,True,0.727
SELL00002,Mehta Enterprises,Karnataka,Bengaluru,4.1,697,2021-09-28 17:16:30,Standard,Easy Ship,True,0.838
SELL00003,Mishra Stores,Maharashtra,Mumbai,3.8,405,2021-07-29 10:02:52,Standard,Self Ship,True,0.889
SELL00004,Das Retail,Rajasthan,Kota,3.9,216,2021-08-05 11:47:13,Standard,FlipMart Fulfilled,True,1.0
SELL00005,Mishra Mart,Tamil Nadu,Madurai,3.7,322,2023-10-06 22:09:27,Elite,Easy Ship,False,0.936
SELL00006,Mishra Trading,Rajasthan,Kota,3.8,775,2024-01-01 01:13:50,Elite,Easy Ship,True,0.803
SELL00007,Patel Enterprises,Rajasthan,Kota,4.6,385,2022-12-19 04:00:25,Standard,Self Ship,True,0.982
SELL00008,Gupta Trading,Uttar Pradesh,Varanasi,4.0,670,2021-05-10 10:03:42,Preferred,FlipMart Fulfilled,True,0.885
SELL00009,Das Trading,Maharashtra,Mumbai,4.4,605,2021-10-26 14:24:33,Standard,FlipMart Fulfilled,True,0.944
SELL00010,Mishra Retail,Telangana,Nizamabad,4.1,215,2023-10-16 19:59:50,Standard,Easy Ship,True,1.0
SELL00011,Pandey Trading,Madhya Pradesh,Bhopal,3.7,755,2022-12-14 03:24:20,Elite,Self Ship,True,0.843
SELL00012,Joshi Trading,Telangana,Nizamabad,3.3,538,2021-05-15 04:20:29,Standard,FlipMart Fulfilled,True,1.0
SELL00013,Bajaj Stores,Punjab,Amritsar,3.6,643,2021-08-06 16:22:55,Standard,Easy Ship,True,0.943
SELL00014,Verma Retail,Maharashtra,Nagpur,4.4,497,2022-12-27 22:43:06,Standard,FlipMart Fulfilled,True,0.991
SELL00015,Patel Retail,Maharashtra,Nagpur,4.6,182,2024-03-30 23:31:47,Standard,FlipMart Fulfilled,True,0.988
SELL00016,Kapoor Stores,Kerala,Thiruvananthapuram,4.2,106,2022-12-21 09:17:23,Preferred,Easy Ship,True,0.79
SELL00017,Kapoor Trading,Karnataka,Mangaluru,3.1,246,2021-05-24 08:22:21,Platinum,FlipMart Fulfilled,True,0.909
SELL00018,Rao Mart,West Bengal,Howrah,4.1,668,2021-06-01 11:55:39,Platinum,FlipMart Fulfilled,True,0.978
SELL00019,Joshi Stores,Gujarat,Surat,3.7,615,2021-05-02 06:32:11,Elite,FlipMart Fulfilled,True,0.894
SELL00020,Patel Trading,Tamil Nadu,Madurai,3.6,206,2021-10-16 11:34:05,Preferred,FlipMart Fulfilled,True,0.815
SELL00021,Kapoor Stores,Rajasthan,Udaipur,4.3,7,2023-09-26 17:46:01,Standard,Self Ship,True,0.938
